KOMPONEN PENGEMBANGAN,,,,,,
,,,,,,
No,Nama Komponen,Jumlah,Keterangan,Package,Distributor,Part Number
1,0,874,RESISTOR 1/8W 5%,0805 SMD,DIGI-KEY,
2,0.039,10,RESISTOR 3/4W 1%,1206 SMD,DIGI-KEY,408-1577-1-ND
3,0.005,2,RESISTOR 1W 1%,2512 SMD,DIGI-KEY,P5.0MCT-ND
4,0.005,7,RESISTOR CURRENT SENSE 2W 1%,,DIGI-KEY,MCS3264R005FERCT-ND
5,0.01,10,RESISTOR 1W 1%,1206 SMD,,PRL1632.010FCT-ND
6,0.01,10,RESISTOR 2W 1%,3264 SMD,DIGI-KEY,MCS3264R010FERCT-ND
7,0.01,105,RESISTOR 1W,2512 SMD,,
8,0.01,4,RESISTOR 3W 1%,2512 SMD,DIGI-KEY,CRA2512-FZ-R010ELFCT-ND
9,0.012,99,RESISTOR 1W,2512 SMD,,
10,0.015,10,RESISTOR CURRENT SENSE 2W 1%,,DIGI-KEY,MCS2364R015FERCT-ND
11,0.015,104,RESISTOR 1W,2512 SMD,,
12,0.02,10,RESISTOR 2W 1%,3264 SMD,DIGI-KEY,MCS3264R020FERCT-ND
13,0.02,105,RESISTOR 1W,2512 SMD,,
14,0.02,9,RESISTOR 3W 1%,2512 SMD,DIGI-KEY,CRA2512-FZ-R020ELFCT-ND
15,0.025,104,RESISTOR 1W,2512 SMD,,
16,0.03,10,RESISTOR 2W 1%,3264 SMD,DIGI-KEY,MCS3264R030FERCT-ND
17,0.03,100,RESISTOR 1W,2512 SMD,,
18,0.04,6,RESISTOR 3W 1%,2512 SMD,DIGI-KEY,CRA2512-FZ-R040ELFCT-ND
19,0.043UF,104,RESISTOR 1W,2512 SMD,,
20,0.047,0,RESISTOR 1W 1%,2512 SMD,DIGI-KEY,
21,0.05,104,RESISTOR 1W,2512 SMD,,
22,0.05,6,RESISTOR 2W 1%,3264 SMD,DIGI-KEY,MCS3264R050FERCT-ND
23,0.08,0,RESISTOR 3W 1%,2512 SMD,DIGI-KEY,
24,0.1,2,RESISTOR 1/4W 1%,0805 SMD,DIGI-KEY,
25,0.1,3,RESISTOR 1/2W 5%,1210 SMD,DIGI-KEY,
26,0.1,0,RESISTOR 1W 1%,1206 SMD,DIGI-KEY,
27,0.1,104,RESISTOR 1W,2512 SMD,,
28,0.12,10,RESISTOR 1/4W 1%,0805 SMD,DIGI-KEY,
29,0.12,19,RESISTOR 1/4W 5%,1206 SMD,DIGI-KEY,
30,0.15,10,RESISTOR 1/4W 1%,0805 SMD,DIGI-KEY,
31,0.15,4,RESISTOR 1/2W 1%,1210 SMD,DIGI-KEY,
32,0.16,7,RESISTOR 1/4W 1%,0805 SMD,DIGI-KEY,
33,0.18,8,RESISTOR 1/4W 1%,0805 SMD,DIGI-KEY,
34,0.18,24,RESISTOR 1/4W 5%,1206 SMD,DIGI-KEY,
35,0.22,94,RESISTOR 1/4W 1%,0805 SMD,DIGI-KEY,
36,0.47,11,RESISTOR 2W 5% METAL OXIDE,,DIGI-KEY,0.47W-2-ND
37,0.5,50,RESISTOR 2W 1%,2512 SMD,DIGI-KEY,CSRN20.5FICT-ND
38,1,994,RESISTOR 1/8W 5%,0805 SMD,DIGI-KEY,
39,1.5,193,RESISTOR 1/8W 5%,0805 SMD,DIGI-KEY,
40,2.2,200,RESISTOR 1/8W 5%,0805 SMD,DIGI-KEY,
41,3.3,184,RESISTOR 1/8W 5%,0805 SMD,DIGI-KEY,
42,4.7,168,RESISTOR 1/8W 5%,0805 SMD,DIGI-KEY,
43,4.7,100,RESISTOR 1/4W 1%,1206 SMD,DIGI-KEY,311-4.70MFRCT-ND
44,6.8,192,RESISTOR 1/8W 5%,0805 SMD,DIGI-KEY,
45,10,965,RESISTOR 1/8W 5%,0805 SMD,DIGI-KEY,
46,10,246,RESISTOR 2W 5%,,DIGI-KEY,ZCT-ND
